Strategy Name,Market Regime and Triggers (ADX and IV),Optimal DTE and Delta Selection,Entry Confirmation (EMA Stack and Keltner Action Zone),Exit and Trim Rules (+2 and +3 ATR),Defensive Hedge Protocols,Source
The Wheel Strategy (Income & Premium Selling),Sideways/Range-bound; ADX < 20 (preferred); High IV (VRP > 1.2 or IV \ge 70) for rich premiums.,7-45 DTE (Weekly preferred for ROC); Delta target: |\Delta| \le 0.15 to 0.30 for OTM strikes.,"EMA-aligned; Price within 1 ATR of 21-day EMA ('Action Zone'); Stochastic (8,3,3) used to find dip within a 'rip'.",Close at 50% max profit; Trim at +2 ATR; Exit full at +3 ATR (Keltner upper bands); 2% Portfolio Rule override.,Roll down/out for credit; 3-5% max position; Use VIX/UVIX/SQQQ; Protective collars ('hedge condoms'); 2\times premium rule.,[1][2][3][4][5][6]
Bounce 2.0 (Mean Reversion / The Tao Swing),"Bull Phase (S&P 500 > 200 SMA); ADX > 20; Stochastics (8,3,3) \le 40; Mature pullback in uptrend.",30-45 DTE; Call Debit Spreads.,Price pullback to 21 EMA mean ('Action Zone'); EMA 8 remains above 21; Daily/Weekly/Monthly EMA stacks (8/21/34/55/89).,TP1: Recent resistance (or 80.00); TP2: +2 ATR (or 84.00); TP3: +3 ATR (or 88.00); Stop: 1 ATR away or below 50 SMA.,Time Stop: Exit 50% if no breach in 5 days; 15% NLV Portfolio Stop; 40% market/60% reserve blitz tactic.,[1][2]
Systematic Sell-Side (The Casino Playbook),High IV Rank (> 40th percentile); Vega inflated; Avoid overpaying for premium.,30-45 DTE (Theta decay inflection); Target 0.20 to 0.30 Delta for CSPs.,Tao of Trading 8/21/34/55/89 EMA stack; Price within 1.5 ATR of 21 EMA; Avoid parabolic moves.,Profit target at 50% max profit; Trim equity or sell CCs at +/- 3 ATR or 3rd Keltner channel band.,Extension Roll: Out in time and down in strike for credit; 12-step recovery discipline to prevent tilt.,[5]
Ultimate Stacked Bulls (Momentum Playbook),Strong Trending Regime; ADX (14) > 20 (velocity check).,Favors high-volume momentum favorites; Volatility-based DTE adjustments.,"Triple-Stacked EMA Layer Cake (8 > 21 > 34 > 55 > 89) on Daily, Weekly, and Monthly timeframes; Stochastic (8,3,3) on dips.",ATR 'Coil' identifies explosive potential; Exit if trend breaks below 34 EMA on high volume.,"Trailing stops at key EMA levels (e.g., 34 EMA); Liquidity filter: Average Volume (10D) > 1 Million.",[3][7]
LEAPS (Stock Replacement),Strong structural trend; ADX \ge 20; Low IV (< 70) for cheap long-dated contracts.,1-2 years out (minimum 30-45 days); Delta between 0.4 and 0.8.,Confirmed Bullish EMA Stack (8 > 21 > 34 > 55 > 89); Price 'Sailing with the Wind' above 200 SMA.,Profit targets at ATR extensions; Exit 50% at +15% gain or when EMA(8) crosses below EMA(21).,Stop loss 1 ATR from entry; Move stop to break-even after TP1; Avoid holding through earnings (IV crush).,[2]
MPHinance Momentum / VoPR Playbook,High volatility; Focus on earnings; Uses VoPR (Volatility Options Pricing & Range) 4-model composite.,Monthly charts for floors; Volatility-based adjustments; July/June expirations for synthetic bulls.,8/21/34/55/89 EMA stack; VoPR grading logic (A/B/C/D); 'Action Zones' based on trendlines.,"ATR-based stops and targets (+2 and +3 ATR); Layering: buy in batches (e.g., 5) to trim into strength.",Risk Reversals (selling puts to finance calls); Shorter-dated protective puts; Sell CCs/CSPs around earnings.,[8][9]
Bear Mode (EMA Death Stack),Bearish Regime; ADX \ge 20; Stoch K > 60 (Pullback to Resistance); MACD < 0.,30-45 DTE (Near the Money).,Daily/Weekly/Monthly Stack: 8 < 21 < 34 < 55 < 89; Price within \pm8% of EMA 21.,Stop: Above recent swing high; Target: Prior structural support levels.,Small position sizing; 50% max position for short trades.,[1]
Synthetic Long (Leverage Optimization),Strong Trend; ADX \ge 20; High IV (\ge 70) makes straight calls expensive.,Strike selected at same price for call and put; High Delta for share replacement.,Breakout confirmation with volume and sector alignment; Price reclaiming 21 EMA mean.,Exit at horizontal structural resistance or 3 ATR stretch targets.,No margin fees via simultaneous long call/short put; 4\times leverage; managed by rolling short put.,[2]
Equity Accumulation Engine (The Flywheel),"Continuous regime for long-term compounders ($NVDA, $AVGO); 1.5% - 2.0% weekly premium targets.",30-45 DTE for Covered Calls; Jan '26 LEAP strikes for leverage.,Keltner channel base-building; Tactical bounce plays off the 21 EMA.,Systematic trims at +3 ATR Keltner boundaries; Profits swept to buy physical shares.,"80/20 Barbell: 80% structural theta/equity, 20% high-leverage delta; Profits swept from 20% to 80% bucket.",[5]
Vega Expansion Monetization (Crypto Beta),"High volatility/Vega expansion on crypto assets ($MSTR, $COIN); Bitcoin-driven spikes.",30-45 DTE; Low-delta (0.20-0.25) premium sales.,Tao of Trading rainbow MA swing vehicle; Crypto fee revenue proxy and institutional flow.,50% max profit target; Capture terminal momentum blow-offs using 3 ATR threshold on daily chart.,Defined-risk rolls; Anti-chasing guard (EXHAUSTION_ZONE) when retail overpays for OTM calls.,[5]
