date_opened,date_closed,ticker,strategy,debit_or_credit,entry_price,exit_price,max_profit,max_loss,breakeven,bp_used,realized_pl,notes
2026-03-27,2026-04-02,/NQM6,Put Credit Spread,credit,,,,,,,1010,Closed at 25% of max profit via GTC
2026-03-19,2026-04-02,/ESM6,Short Strangle,credit,,,,,,,2700,Closed at 50% of max profit
2026-03-10,2026-04-10,/RTYM6,Short Put,credit,,,,,,,1262.50,Closed at 50% of max profit; rolled once
2026-02-25,2026-04-10,NVDA,Short Put,credit,,,,,,,465,Closed at 73% of max profit
2026-04-01,2026-04-10,GLD,Iron Condor,credit,,,,,,,90,Closed at 26% of max profit
,2026-04-10,ORCL,Short Put,credit,,,,,,,1195,Assigned; net premium counted as realized gain
,2026-04-10,/ESM6,Short Strangle,credit,,,,,,,1050,Closed at 20% of max profit in 3 days
,2026-04-10,/NQM6,Put Debit Spread,debit,,,1460,-540,,,-540,Expired worthless (downside hedge)
,2026-04-10,SPX,Put Butterfly,debit,,,,-505,,,-505,Expired worthless (downside hedge)
,2026-04-17,/MESM6,Long Futures,debit,,,,,,,82,Closed long-held Micro S&P future for small gain
,2026-04-17,/METJ6,Long Futures,debit,,,,,,,170.50,Closed Micro Ethereum future
,2026-04-17,ASTS,Short Put,credit,,,,,,,135,Closed at 25% of max profit overnight
,2026-04-17,SPX,Risk-Free Fly,credit,,,,,,,800,Locked-in gain realized at expiration
,2026-04-17,AVGO,Risk-Free Fly,credit,,,,,,,275,Locked-in gain realized at expiration
,2026-04-24,/ZC,Call Debit Spread,debit,,,,-306.25,,,-306.25,Corn; expired worthless
,2026-04-24,/ZS,Call Debit Spread,debit,,,,-375,,,-375,Soybeans; expired worthless
,2026-04-24,/ZW,Call Debit Spread,debit,,,,-300,,,-300,Wheat; expired worthless
,2026-05-01,BE,Short Put,credit,,,,,,,1200,Earnings trade; closed at 50% of max profit overnight
2026-04-21,2026-05-01,UAL,Short Strangle,credit,,,,,,,105,Closed at 25% of max profit in 9 days
,2026-05-01,RDDT,Short Put,credit,,,,,,,620,Earnings trade; closed at 50% of max profit overnight
,2026-05-01,/NQM6,Broken-Wing Butterfly,credit,,,,,,,150,Put BWB for megacap earnings; expired worthless keeping credit
2026-04-30,2026-05-08,/ZCN6,Short Put,credit,,,,,,,112.50,Corn; closed at 22% of max profit in 4 days
,2026-05-08,RKLB,Short Put,credit,,,,,,,250,Earnings trade; closed at 50% of max profit overnight
,2026-05-15,/ZCN6,Short Put,credit,,,,,,,175,Corn; closed at 37% of max profit in 4 days
,2026-05-15,NBIS,Short Put,credit,,,,,,,700,Earnings trade; closed at 50% of max profit overnight
2026-05-06,2026-05-15,IONQ,Short Put,credit,,,,,,,180,Closed at 50% of max profit
,2026-05-15,AMAT,Call Butterfly,debit,,,,-350,,,-350,1DTE earnings lotto; did not pan out
,2026-05-15,MU,Risk-Free Fly,credit,,,,,,,350,Locked-in credit realized (from Put Ratio Spread)
,2026-05-15,MU,Call Butterfly,debit,,,9800,-200,,,-200,Lotto; expired worthless
,2026-05-15,SPX,Put Butterfly,debit,,,,-165,,,-165,Downside hedge; expired worthless
,2026-05-15,/NQ,Put Butterfly,debit,,,,-200,,,-200,Downside hedge; expired worthless
